month	day	hour	PM2.5	PM10	SO2	NO2	CO	O3	TEMP
6	4	12	181	196	9	44	3000	74	17.4
6	5	12	170	128	3	27	2500	43	19.3
6	6	12	107	112	NA	8	400	2	19.3
6	7	12	115	128	3	42	2200	8	20.7
6	8	12	211	248	3	43	2799	7	20.9
6	9	12	3	8	NA	18.477	NA	37.6992	17.4
6	10	12	24	24	2.2848	20.1194	NA	43.0542	24.5
6	11	12	76	92	5	30	500	104	24.9
6	12	12	70	67	9	24	900	127	25.3
6	13	12	146	196	37	38	2299	138	27.7
6	14	12	157	182	3	32	1300	172	29.4
6	15	12	126	168	3	38	2299	124	28.5
6	16	12	175	180	5	65	3100	37	21.9
6	17	12	3	6	3	8	300	97	29.2
6	18	12	32	74	3	43	700	98	32.6
6	19	12	19	NA	4	12	400	126	33.6
6	20	12	16	23	3	13	400	94	31.3
6	21	12	68	69	19	25	900	129	31.2
6	22	12	66	39	3	31	800	41	21.8
6	23	12	33	33	3	16	500	109	29.8
6	24	12	204	148	4	29	1500	163	28.1
6	25	12	109	73	3	31	1800	51	23.5
6	26	12	208	168	3	22	1700	147	28.6
6	27	12	21	21	3	10	400	122	31.6
6	28	12	260	223	4	44	3200	68	26.6
6	29	12	85	69	3	36	1899	49	23.5
6	30	12	252	220	3	36	2100	95	27.3
7	1	12	180	167	3	51	3100	11	25
7	2	12	15	15	3	12	300	108	33.9
7	3	12	24	24	3	13	400	142	35.6
7	4	12	23	38	3	12	300	122	34.3
7	5	12	17	17	6	6	300	117	33.6
7	6	12	128	72	13	26	1399	272	34.3
7	7	12	222	196	12	35	2200	104	30.4
7	8	12	NA	58	7	15	1000	106	27.4
7	9	12	43	25	9	9	800	76	24.3
7	10	12	NA	41	12	23	1200	40	25.3
7	11	12	NA	27	11	19	900	55	27.5
7	12	12	NA	49	10	14	900	157	31.1
7	13	12	NA	6	3	21	NA	136.2312	29.7
7	14	12	NA	53	8.2824	22.7883	NA	69.4008	29.8
7	15	12	NA	NA	5.4264	22.583	NA	5.1408	25.2
7	16	12	NA	NA	8.568	28.1261	NA	87.822	31.6
7	17	12	NA	91	11.7096	28.1261	NA	146.727	31.8
7	18	12	204	175	5.9976	54.1992	NA	54.4068	26.8
7	19	12	188	148	NA	56.0469	NA	130.4478	29.8
7	20	12	10	10	NA	4.5166	NA	107.9568	31.9
7	21	12	103	104	NA	31.4109	NA	159.1506	30.1
7	22	12	109	107	1.9992	30.1791	NA	184.8546	29.7
7	23	12	19	25	2.5704	24.636	NA	143.9424	31.1
7	24	12	26	4	3.1416	12.5233	NA	152.082	35.7
7	25	12	3	10	0.8568	6.159	NA	109.8846	34.8
7	26	12	44	81	38.8416	37.3646	NA	60.4044	24.6
7	27	12	121	123	NA	43.7289	NA	8.568	24.1
7	28	12	17	26	NA	14.371	NA	130.2336	34.5
7	29	12	112	151	0.2856	52.1462	NA	46.053	30
7	30	12	186	155	NA	37.3646	NA	174.1446	32.5
7	31	12	37	44	NA	31.6162	NA	130.2336	31.4
8	1	12	27	22	NA	22.3777	NA	79.4682	23.1
8	2	12	85	72	NA	11.4968	NA	155.295	29.7
8	3	12	49	91	0.2856	18.8876	NA	167.2902	31.5
8	4	12	89	57	NA	34.2851	NA	165.1482	31.8
8	5	12	34	66	1.428	19.9141	NA	115.4538	30.9
8	6	12	144	161	NA	23.8148	NA	87.1794	31.5
8	7	12	30	28	NA	12.7286	NA	108.5994	28.7
8	8	12	30	64	8.8536	29.3579	NA	102.6018	33.4
8	9	12	25	69	7.9968	14.371	NA	138.3732	34.3
8	10	12	163	285	4.284	20.7353	NA	120.1662	32.8
8	11	12	232	172	3.4272	24.0201	NA	81.6102	31
8	12	12	54	50	4.5696	21.9671	NA	79.254	28.2
8	13	12	84	85	8.568	28.742	NA	120.8088	30.5
8	14	12	81	103	3	24.636	1000	159	32.2
8	15	12	108	130	3	28.5367	1400	125	32.1
8	16	12	3	179	3	39.007	1300	26	30.5
8	17	12	21	44	3	9.4438	NA	90	34.5
8	18	12	6	11	5	7.5961	NA	106	32.3
8	19	12	12	15	1	10.0597	500	105	32.6
8	20	12	101	139	5	31.2056	1600	140	28.5
8	21	12	139	141	2	60.7688	1500	87	29.8
8	22	12	124	147	1	49.6826	1200	33	25
8	23	12	25	23	2	13	500	96	32.4
8	24	12	4	7	1	9	500	112	32.2
8	25	12	44	64	2	22	800	200	33.1
8	26	12	7	7	1	6	400	130	32.9
8	27	12	57	88	21	38	2200	40	24.9
8	28	12	54	18	1	23	2300	34	24.7
8	29	12	10	11	1	6	300	71	27
8	30	12	7	7	1	5	300	69	25.9
8	31	12	12	24	4	12	300	70	28.8
9	1	12	19	32	7	6	600	110	27.7
9	2	12	12	21	6	8	700	121	26.4
9	3	12	59	81	7	10	900	136	27
9	4	12	43	64	17	37	2000	74	20.7
9	5	12	8	8	1	3	400	81	24.9
9	6	12	38	42	11	13	1200	90	23.8
9	7	12	27	5	2	6	500	117	26.8
9	8	12	44	53	4	16	1100	78	24.8
9	9	12	105	107	4	31	1400	35	24.5
9	10	12	57	57	5	9	NA	86	28.6
9	11	12	104	152	27	23	1900	108	26.9
9	12	12	146	178	25	29	1900	126	27.1
9	13	12	81	122	3	25	1000	29	20.3
9	14	12	71	58	8	21	900	90	30.3
9	15	12	7	25	17	11	400	73	25.5
9	16	12	33	85	17	24	800	33	25.5
9	17	12	64	98	5	31	1900	2	20.1
9	18	12	109	110	12	21	2700	54	23.3
9	19	12	97	107	11	32	NA	19.278	24.1
9	20	12	12	12	1	4	200	94	27.1
9	21	12	62	90	16	22	800	102	27.5
9	22	12	99	174	15	23	1900	6	21.7
9	23	12	10	10	1	17	400	18	16.8
9	24	12	3	6	1	6	200	58	20
9	25	12	3	6	7	16	300	52	23.3
9	26	12	55	121	84	37	1700	35	22.6
9	27	12	170	211	35	32	1300	107	22
9	28	12	209	227	22	35	1600	55	19.5
9	29	12	211	221	4	46	1500	3	18.4
9	30	12	57	79	27	28	1100	50	22.3
10	1	12	11	11	1	18	NA	44.5536	20
10	2	12	3	6	1	5	100	69	21.4
10	3	12	59	106	60	28	2300	56	19.9
10	4	12	111	155	41	26	1800	66	20.3
10	5	12	254	288	41	33	2200	65	22.1
10	6	12	145	164	14	43	3500	11	19.3
10	7	12	23	6	2	8	600	54	24.3
10	8	12	34	57	16	36	1600	NA	20.8
10	9	12	99	154	17	60	1600	10	17
10	10	12	12	61	1	10	300	66	21
10	11	12	40	75	11	53	700	46	21.8
10	12	12	27	39	4	25	500	68	22.2
10	13	12	43	43	6	29	600	47	15.9
10	14	12	5	34	1	7	200	58	14
10	15	12	3	9	1	10	200	58	15.4
10	16	12	27	58	5	41	400	41	19.3
10	17	12	188	229	54	91	1800	32	17.2
10	18	12	174	192	78	102	1900	18	16.1
10	19	12	8	8	2	12	200	58	18.2
10	20	12	21	25	2	16	200	65	17.6
10	21	12	74	155	32	72	1100	20	18
10	22	12	142	157	29	78	NA	42.84	16.7
10	23	12	16	48	11	23	300	1	14.4
10	24	12	8	31	4	19	400	1	15.9
10	25	12	20	18	1	11	300	87	16.9
10	26	12	22	28	9	20	400	64.6884	16.7
10	27	12	193	212	64	96	1700	32.3442	14.7
10	28	12	183	203	35	55	NA	65.7594	15.6
10	29	12	16	16	4	11	200	63.8316	15.7
10	30	12	34	52	10	39	600	37.0566	14.2
10	31	12	81	88	10	40	800	50.9796	14.5
11	1	12	184	202	12	83	1600	16.4934	11.2
11	2	12	208	223	29	117	2100	24.633	13.2
11	3	12	8	8	1	10	200	61.6896	18
11	4	12	15	15	4	18	300	54.1926	17.2
11	5	12	122	168	44	84	1500	5.7834	13.2
11	6	12	74	94	18	54	800	34.272	18.2
11	7	12	7	16	7	30	300	34.7004	14.4
11	8	12	82	123	58	53	1200	10.9242	13.1
11	9	12	136	123	53	64	1500	16.7076	15.2
11	10	12	3	58	2	12	200	65.331	8.6
11	11	12	20	23	13	23	400	51.1938	13.2
11	12	12	11	11	2	9	200	64.0458	14.6
11	13	12	NA	NA	71	83	3300	4.4982	8.4
11	14	12	10	23	4	15	200	62.3322	13.7
11	15	12	60	134	31	62	900	20.5632	16.5
11	16	12	3	24	1	9	100	62.7606	11.7
11	17	12	3	6	1	10	200	59.3334	9.3
11	18	12	6	6	2	8	200	58.2624	7.6
11	19	12	4	6	4	8	400	51.6222	6.4
11	20	12	7	12	7	NA	400	38.3418	10.6
11	21	12	17	14	13	22	700	43.2684	11.4
11	22	12	24	34	15	25	700	38.3418	11.8
11	23	12	96	87	34	53	1400	29	13.6
11	24	12	55	149	29	52	1000	12	9.7
11	25	12	3	6	2	9	400	61	6.3
11	26	12	8	6	4	14	700	58	6.7
11	27	12	8	84	1	6	700	55	-1.1
11	28	12	7	32	7	12	900	57	4.4
11	29	12	33	34	26	47	1500	31	12.5
11	30	12	13	16	10	13	700	62	10.2
12	1	12	21	18	19	28	1100	41	10.5
12	2	12	30	36	29	31	1300	33	10
12	3	12	28	32	16	19	900	58	12.9
12	4	12	34	35	25	28	1100	37	12
12	5	12	6	6	8	9	600	60	9.5
12	6	12	94	93	51	72	2200	10	8.5
12	7	12	125	120	41	69	2500	5	6.3
12	8	12	253	211	78	83	4400	16	8.2
12	9	12	6	6	1	10	800	65	6
12	10	12	55	67	36	57	2000	9	5.3
12	11	12	18	18	10	33	1300	35	5.9
12	12	12	3	6	1	7	900	54	-0.8
12	13	12	18	24	12	20	1600	43	1.8
12	14	12	11	6	6	13	1300	58	2.9
12	15	12	8	6	7	12	1100	62	4
12	16	12	60	54	33	38	2200	12	1.7
12	17	12	9	17	7	9	1000	57	1.1
12	18	12	18	18	12	17	NA	NA	-0.6
12	19	12	10	17	13	12	300	66	-1
12	20	12	17	28	16	19	500	59	1.1
12	21	12	11	17	12	12	400	72	1.8
12	22	12	61	81	45	54	1500	16	0.8
12	23	12	28	35	36	28	700	46	5.4
12	24	12	106	128	63	59	2400	8	0.4
12	25	12	210	218	83	102	3600	12	2.6
12	26	12	6	6	1	10	400	67	0.5
12	27	12	22	26	16	29	700	39	0.2
12	28	12	10	38	11	16	400	56	0.3
12	29	12	98	119	54	82	1800	14	6.5
12	30	12	64	139	49	55	NA	46.4814	6.8
12	31	12	33	198	8	20	300	60	8.9
1	1	12	27	85	16	27	400	56	10.4
1	2	12	86	144	122	80	2600	8	6.3
1	3	12	24	62	10	36	600	46	7.7
1	4	12	108	135	78	63	2200	9	1.4
1	5	12	65	56	22	37	1000	43	5.2
1	6	12	158	167	61	67	2600	4	-0.1
1	7	12	55	22	17	25	800	47	4.5
1	8	12	13	6	5	13	500	58	-0.4
1	9	12	8	9	3	25	600	45	-0.9
1	10	12	48	57	25	35	900	34	0.9
1	11	12	68	94	54	62	1600	12	2.4
1	12	12	8	6	5	10	300	72	1.9
1	13	12	84	99	59	54	1600	27	1.3
1	14	12	23	17	29	25	700	49	1.8
1	15	12	61	67	40	49	1300	NA	3.8
1	16	12	203	208	107	85	2600	15	3
1	17	12	89	66	46	47	1100	28	1.8
1	18	12	9	6	8	17	300	67	5.8
1	19	12	121	119	106	57	2300	16	2
1	20	12	7	8	1	8	300	62	2
1	21	12	14	6	12	16	600	NA	2.6
1	22	12	58	61	36	34	1000	39	3.7
1	23	12	NA	NA	61	NA	3100	9	1.8
1	24	12	190	196	85	82	2400	11	6.6
1	25	12	12	30	13	13	400	NA	5.7
1	26	12	46	72	38	45	1000	36	2
1	27	12	124	130	73	44	1500	31	4
1	28	12	63	115	40	37	1300	41	4.9
1	29	12	115	132	98	48	1900	22	2.2
1	30	12	9	6	2	7	300	75	6.9
1	31	12	129	153	63	28	1100	39	3.4
2	1	12	162	165	95	54	1800	8	4.1
2	2	12	12	148	1	27	300	68	9.1
2	3	12	6	10	3	10	400	69	1.5
2	4	12	6	15	8	9	500	72	0.4
2	5	12	119	141	67	60	2600	16	0.3
2	6	12	114	100	71	51	1500	28	1
2	7	12	86	55	29	24	1500	48	-3.2
2	8	12	48	6	18	19	700	66	1
2	9	12	5	6	2	7	300	72	-3.1
2	10	12	8	6	6	8	400	71	-2.5
2	11	12	NA	NA	NA	NA	NA	NA	-0.7
2	12	12	22	10	15	14	500	74	3.2
2	13	12	170	158	120	65	2300	29	-1
2	14	12	207	179	70	63	2300	28	1.7
2	15	12	392	366	115	83	3500	22	3
2	16	12	128	54	30	22	1100	81	6.9
2	17	12	88	69	79	55	2100	42	5
2	18	12	84	84	78	47	1200	38	1.1
2	19	12	36	6	9	15	500	74	4.5
2	20	12	178	149	48	48	1700	27	0.3
2	21	12	293	293	72	72	2400	17	2.9
2	22	12	234	250	88	53	2000	25	6
2	23	12	229	235	177	91	3800	4	2.6
2	24	12	291	334	147	108	4700	10	6.7
2	25	12	351	338	82	76	3400	19	6.8
2	26	12	549	533	126	128	6200	9	8.1
2	27	12	12	5	2	7	200	80	6.5
2	28	12	81	45	70	53	1400	29	4.5
3	1	12	38	35	2	16	500	76	10.4
3	2	12	157	161	2	NA	500	28	7.4
3	3	12	159	157	55	71	2400	5	2.7
3	4	12	4	9	2	8	200	72	8.4
3	5	12	17	19	17	53	700	44	7.8
3	6	12	14	16	2	12	300	77	6.3
3	7	12	9	13	3	10	400	72	7.1
3	8	12	119	146	92	69	2200	30	7.7
3	9	12	63	96	50	48	1400	54	8.7
3	10	12	43	66	48	36	1000	56	6.5
3	11	12	165	206	92	54	1800	59	11.7
3	12	12	6	8	2	5	200	94	9.3
3	13	12	5	22	6	19	400	78	11.7
3	14	12	10	18	2	15	300	82	15
3	15	12	95	145	41	68	1100	45	17.2
3	16	12	72	121	41	39	1300	78	16.1
3	17	12	109	392	26	64	1000	36	19.4
3	18	12	60	264	46	35	1200	77	15.2
3	19	12	90	108	31	66	1300	34	9.8
3	20	12	8	9	2	6	200	87	15.6
3	21	12	31	60	8	21	300	NA	21.1
3	22	12	13	54	3	18	300	93	21.7
3	23	12	165	170	62	58	1600	102	18.5
3	24	12	220	267	72	90	1900	67	18.6
3	25	12	215	227	47	51	1400	128	20.5
3	26	12	278	331	69	94	2100	63	20.7
3	27	12	253	266	71	78	3400	27	15.1
3	28	12	89	62	20	24	900	73	21
3	29	12	3	10	2	24	300	84	20.9
3	30	12	10	16	2	50	200	64	24.4
3	31	12	267	314	96	86	3500	51	20
4	1	12	130	70	23	55	900	100	22.8
4	2	12	82	89	17	30	700	127	23.4
4	3	12	7	11	2	7	200	92	19
4	4	12	NA	156	14	58	900	50	21.4
4	5	12	9	18	2	6	200	95	17.4
4	6	12	38	59	12	55	500	59	23.8
4	7	12	99	166	27	44	700	100	22.4
4	8	12	190	242	52	52	1500	119	23.2
4	9	12	106	53	19	55	800	116	29.4
4	10	12	73	384	30	39	1300	60	17.4
4	11	12	23	27	7	20	400	100	16.5
4	12	12	119	137	38	92	1800	74	20.6
4	13	12	187	216	43	68	1500	105	21.7
4	14	12	274	301	56	66	1800	121	23.6
4	15	12	107	204	29	32	1100	122	21.4
4	16	12	66	108	15	95	800	20	19.9
4	17	12	90	55	16	57	1500	30	14.2
4	18	12	134	108	18	29	1400	120	19.8
4	19	12	50	34	29	58	1000	58	14.3
4	20	12	47	53	7	41	600	54	19.7
4	21	12	33	5	2	10	200	98	24
4	22	12	33	52	6	33	400	127	26.3
4	23	12	191	196	32	31	1200	123	23.6
4	24	12	144	162	35	58	1100	60	22.1
4	25	12	126	207	51	58	1400	102	24.9
4	26	12	35	67	2	7	300	81	20.9
4	27	12	16	25	2	10	300	90	23.2
4	28	12	50	5	7	13	500	133	25.2
4	29	12	105	150	17	55	900	137	24.8
4	30	12	159	218	29	90	1200	111	26.5
5	1	12	165	201	30	35	1000	163	25.8
5	2	12	16	28	2	8	200	100	21.7
5	3	12	64	64	21	35	600	100	23.2
5	4	12	20	81	2	5	200	86	17
5	5	12	10	11	2	7	300	96	19.4
5	6	12	78	117	39	34	900	101	20.2
5	7	12	NA	186	2	9	500	94	24.4
5	8	12	97	108	20	45	1600	120	22.9
5	9	12	59	98	32	33	1700	88	18.1
5	10	12	48	77	33	26	1300	98	19.2
5	11	12	13	13	2	13	700	104	12.2
5	12	12	25	25	2	14	NA	95	29.9
5	13	12	98	142	23	58	900	82	28
5	14	12	11	11	2	9	300	79	21.3
5	15	12	26	52	3	15	300	95	27.2
5	16	12	17	17	2	8	200	111	28.1
5	17	12	82	121	44	NA	1100	129	27
5	18	12	219	219	15	NA	800	162	28.1
5	19	12	121	132	19	NA	1400	140	24.9
5	20	12	8	8	2	NA	300	113	29.8
5	21	12	109	152	13	NA	1400	164	28.2
5	22	12	284	285	64	NA	3600	237	32.7
5	23	12	84	84	18	NA	800	221	34
5	24	12	72	72	2	NA	900	33	20.2
5	25	12	75	211	2	NA	300	83	28
5	26	12	31	70	7	NA	300	102	34.6
5	27	12	17	142	2	NA	200	104	30.8
5	28	12	67	81	14	NA	600	118	35.3
5	29	12	59	85	11	NA	600	214	38.3
5	30	12	117	253	62	NA	3200	249	33.8
5	31	12	133	214	47	NA	2100	179	32.9
6	1	12	40	40	2	NA	600	168	30.5
6	2	12	23	23	2	NA	500	132	24.3
6	3	12	27	37	2	11	400	151	30.8
6	4	12	72	83	11	56	900	160	29.5
6	5	12	58	64	8	30	800	178	32.5
6	6	12	115	139	31	46	2700	116	19.3
6	7	12	8	9	2	8	200	102	26.8
6	8	12	31	33	15	23	700	129	29.5
6	9	12	38	38	11	28	800	138	28.5
6	10	12	75	91	14	25	1200	130	25.5
6	11	12	19	19	2	7	400	117	27.9
6	12	12	12	12	2	11	300	150	33.8
6	13	12	24	24	6	13	500	145	31.3
6	14	12	21	25	2	12	400	153	29.6
6	15	12	90	90	17	22	1000	237	32.2
6	16	12	202	208	2	41	1100	145	27.3
6	17	12	47	49	2	20	800	127	25.4
6	18	12	23	23	2	7	100	126	29.5
6	19	12	183	183	22	35	2500	152	26.6
6	20	12	10	10	2	6	500	135	26.5
6	21	12	94	94	15	21	1600	129	26.7
6	22	12	49	49	2	15	700	141	27.8
6	23	12	13	27	NA	5	200	121	30.1
6	24	12	77	121	12	42	700	218	31
6	25	12	80	148	30	41	1600	101	26.7
6	26	12	120	120	2	15	900	205	31.7
6	27	12	11	11	2	6	300	100	33
6	28	12	14	14	2	9	300	123	34.7
6	29	12	29	37	6	15	500	172	33.4
6	30	12	114	171	31	32	1500	229	33.6
7	1	12	133	179	62	39	2200	207	30.9
7	2	12	48	48	2	9	1100	106	24.6
7	3	12	266	266	15	22	1700	125	27.6
7	4	12	158	158	2	10	1000	184	32.3
7	5	12	298	298	28	34	3700	169	30.5
7	6	12	212	212	10	27	1600	122	29.7
7	7	12	136	153	25	30	1400	149	30.1
7	8	12	38	38	3	9	500	122	33.2
7	9	12	7	19	2	9	300	73	30.3
7	10	12	20	20	3	9	300	133	35.2
7	11	12	12	27	2	8	300	125	34.2
7	12	12	8	8	2	7	200	112	32
7	13	12	13	13	2	7	300	114	33.7
7	14	12	15	25	2	8	300	140	34.7
7	15	12	59	138	6	23	600	176	30.4
7	16	12	162	167	13	35	1700	109	27.4
7	17	12	108	108	10	12	1500	155	28.8
7	18	12	155	155	18	16	1900	167	31.7
7	19	12	77	77	4	15	600	200	35.2
7	20	12	60	60	5	14	600	172	34
7	21	12	15	15	2	13	400	87	31.8
7	22	12	13	40	2	17	400	46	28.9
7	23	12	26	57	6	40	700	28	30.8
7	24	12	60	85	3	45	900	47	28
7	25	12	35	35	8	9	700	160	33.3
7	26	12	180	219	8	34	1500	244	33.4
7	27	12	177	194	23	32	1200	242	34.1
7	28	12	167	167	16	26	1200	220	34.4
7	29	12	124	124	2	15	800	189	33.3
7	30	12	146	146	2	10	1700	129	27.5
7	31	12	217	217	4	17	1400	155	30
8	1	12	164	164	5	25	1300	118	31.1
8	2	12	118	118	6	22	1100	110	32.7
8	3	12	105	105	2	11	900	200	34.2
8	4	12	3	20	2	6	400	70	22.1
8	5	12	22	22	2	10	400	93	30.1
8	6	12	8	8	2	9	300	110	33.8
8	7	12	33	33	5	NA	500	83	31.7
8	8	12	72	91	11	26	1100	177	31.4
8	9	12	101	101	14	21	1400	195	30.4
8	10	12	36	36	4	33	500	135	31
8	11	12	7	7	2	7	200	93	34.1
8	12	12	14	14	3	9	300	129	32.6
8	13	12	26	26	2	21	700	51	19.3
8	14	12	37	59	6	24	600	134	28.7
8	15	12	22	22	6	12	400	145	31.4
8	16	12	31	65	5	13	500	187	32.1
8	17	12	34	34	4	12	500	165	30.4
8	18	12	49	90	6	14	700	151	29.7
8	19	12	109	116	6	29	1000	206	32.2
8	20	12	146	163	9	49	1100	166	33.1
8	21	12	146	156	10	23	1100	163	31.8
8	22	12	49	59	6	34	800	89	27.4
8	23	12	132	139	2	27	1100	190	31.7
8	24	12	15	66	2	13	300	108	31.4
8	25	12	6	6	2	8	300	91	30.9
8	26	12	10	10	2	10	200	114	33.7
8	27	12	33	40	6	22	400	187	33.3
8	28	12	107	107	6	56	1300	86	28.3
8	29	12	53	53	7	9	900	146	26.3
8	30	12	96	96	3	24	1400	59	24.8
8	31	12	43	43	2	10	1100	127	26
9	1	12	108	108	7	26	2200	74	24.8
9	2	12	NA	5	2	13	1000	77	21.8
9	3	12	NA	11	3	14	400	80	28.8
9	4	12	NA	54	15	49	600	73	32.6
9	5	12	104	314	10	19	1300	157	28.4
9	6	12	122	137	14	13	1600	154	27.5
9	7	12	207	207	6	53	1500	75	28.2
9	8	12	5	6	2	5	300	87	28.2
9	9	12	35	98	6	24	500	131	27.6
9	10	12	82	132	13	35	1800	134	27.8
9	11	12	72	132	10	39	1600	64	25.7
9	12	12	105	105	5	31	1200	63	23.4
9	13	12	79	79	8	50	900	93	26.3
9	14	12	9	9	2	9	200	58	21.6
9	15	12	7	7	3	17	300	61	26.7
9	16	12	12	12	6	23	400	49	20.8
9	17	12	37	62	3	48	600	27	20.6
9	18	12	62	62	2	25	600	122	25.1
9	19	12	145	162	NA	14	100	7	21.4
9	20	12	133	133	NA	5	200	10	22.9
9	21	12	47	58	NA	11	200	4	21
9	22	12	98	108	NA	10	300	2	21.2
9	23	12	24	24	2	3	600	2	17.8
9	24	12	9	9	2	10	500	46	23.9
9	25	12	106	106	3	27	1300	54	20.1
9	26	12	134	134	15	45	1800	36	20.9
9	27	12	14	14	2	10	200	73	23.6
9	28	12	64	129	25	47	2500	19	21.5
9	29	12	13	17	2	6	NA	51	22.6
9	30	12	13	20	14	18	300	40	14.9
10	1	12	89	126	16	56	1400	10	11.3
10	2	12	39	39	5	33	800	25	20.5
10	3	12	36	48	4	23	700	11	15.9
10	4	12	47	47	2	30	800	31	15.4
10	5	12	7	7	2	10	300	75	20.3
10	6	12	5	5	2	11	200	69	20.7
10	7	12	87	123	21	62	1200	30	19.5
10	8	12	222	222	35	66	2100	48	19.1
10	9	12	264	264	10	45	1700	58	20.9
10	10	12	269	269	35	65	3200	67	21.3
10	11	12	181	181	5	35	1600	68	18.7
10	12	12	3	3	2	10	100	58	17.7
10	13	12	5	5	2	9	200	59	15.8
10	14	12	35	35	10	56	500	40	19.3
10	15	12	13	103	2	27	200	59	22
10	16	12	29	47	7	63	500	31	21
10	17	12	76	103	17	59	700	56	21.3
10	18	12	122	170	31	60	1400	81	23.1
10	19	12	271	316	38	107	2400	28	20
10	20	12	223	223	3	63	1500	26	17.5
10	21	12	29	29	16	58	1000	23	14.2
10	22	12	82	140	11	68	1400	2	12
10	23	12	96	140	26	56	1300	21	16.1
10	24	12	220	242	18	28	1600	61	17.5
10	25	12	297	297	11	43	2000	46	18
